None-of-the-above	enaku unmaikum aluha wantu thirunangaigal theiwangal 😢😢😢
Transphobic	SUPERSTAR VIJAY dai arivuketta polu ithu thappu pavam Da Amanda na gay relationship virukkuren  ethirkkiren
None-of-the-above	Ugka smile cute a iruku😊😊...
None-of-the-above	Anna i am waiting na 🥰🥰🥰
None-of-the-above	Yanda tamilnadu la evvalavo pirachana iruku athalam vittudu ethu oru pirachana vanthu kettu iruka
Transphobic	Night fulla mater ku alaiuradhu day fulla pichaiku alaiuradhu idhula louds paaru potta p___a...
None-of-the-above	l v  innum konja varshathula yaaru agadhi aah sutha poradhunu therium thozhar..😂
None-of-the-above	Bala kumar  wat ur asking.? 1st  olunga kealviya kealunga.
None-of-the-above	Unaku aids vandhuruchi pola olunga iru...
Counter-speech	pradeep  kodi per iruka maataanga nu nenaikireengala? Ellaarum Ungala maadri aaluku bayandhutu open aa solla maatraanga. India la 130 crore la 30 crore LGBT thaan.. Aana adha open aa ellaarkitayum solradhu enna maadri konjam per thaan..
Misandry	yena public la pesa pudikalaya..dei arivu ellathavane!! athunaala thana epdi comments ta pesitu ne eruka..epo veliya vaaya thorantha yellarum unnaiya serupala adipanga..bayanthagoli
None-of-the-above	H.Raja neenga peasunga . ivangaluku unagala pathi theriyal ya
Homophobia	5:15 antha paiyyan straight! girl friend iruku! avan gay illai! avana prank pannala! ithuku peru harrasment! it's ver bad! totally disgusting!!!!
None-of-the-above	sivaprakasam selvi  meenu kutty 😂😂
None-of-the-above	Bro 64 aaya kalaigal pathi solluga
Misandry	Poda potta punda dhevudiya makane
None-of-the-above	Rumba kastma iruku.....oru public places poga mudiyala
None-of-the-above	All i can say is WOW.....................
Counter-speech	Manickam Anbu  ammaavai pathi pesurathu sari kidaiyaathu.
Counter-speech	Tharan Tamilanda  yanda Sombu  ethuikku munnadi Jayalalitha Karunanithi sethappa Yella channel pottu kaattuna...seri avungala vedu onnume illatha nehru thambi sethatha Koda avnoda sadangi fulla pottu kaattidu irunthanuga...apala intha Sombu yenga pochunu therilaye....poi paaruda india glitz and galatta voice namma Tamilar ooda local you tube chennel da Sombu ....athuvum avanuga fulla cinema paathitha pesidu iruppanuga ...epatha konja naala arasiyal ulla pesa varanuga....antha chennal ulla normal pesuravan la irunthu md Vara tamilanda Sombu.....seeman oru leader varan avanuikku youngsters follow irukku yentha channel podala so Evan pottu view vaaankidu money sambarichudan......  yethavathu forward msg paathudu short video evanachu edit panni poduvan atha paathudu Inga vanthu kambu sutha kudathu poi arasiyal na yennanu paaru.....
None-of-the-above	Edho..its all but nu ennamo varum...sariya therla....ivanga name ah search pannunga varum
None-of-the-above	Go S  one elder bro
None-of-the-above	Nama SFF theriyum nenaikira bro
Misandry	DEI Venna Admin Ithu Karu palaniyappan Ku Illa Da Sunni
None-of-the-above	Intha transgender romba nallavangala irukanga
None-of-the-above	Excellent bro keep it up 👌👌👌👌👌👌👌
None-of-the-above	Yella Brahmins yum ketta yennam ullavanga illa. Olachi sapduravangalum irukanga...But nalla education irunthum sila Brahmins mandayila sanathantha thooki somakirargal...avangala matha mudiyathu. Kandukkama kadanthu poganum...over ah thappu panna nalla thandanaya kodukanum..
None-of-the-above	
None-of-the-above	Sabarinath Gnanakaran  Apna number .do
None-of-the-above	Babu Natarajan  I love you
None-of-the-above	Best Engineering works Best Engineering works  pongada loosu pasanagala....
Counter-speech	MARI ESWARI  mamaiyar marumaga sandai its hypothetical.. yepo sanda poduvanga and samadhanam avanga nu solla mudiyathu..... ; ; Mudinja alavukku pethavanga vetla irunthu suruttitu vanthudanum.. parents yevalo kadan pattalum paravalla.. enna mind set ithu.. ithunga enna dashukku padichuthu... itha unga feminism ah.. ithoda previous episode ah periyar pathurukkanum..
None-of-the-above	5:56 yarupa nee engirunthu vanthaaaa😅
None-of-the-above	nee naan aval நீ நான் அவள்  ohh twins sa normal la pathutigla  papa ku age ena sister niga oru ala valskiglu
