Hope-Speech	உங்கள் பேச்சை எதிர்பார்த்தேன். நல்ல விளக்கம்  அருமை.  நியாயமான முறையில் பதிவு செய்துள்ளீர்கள்.  நீண்ட காலம் வாழ்வதற்கு வாழ்த்துக்கள்.
None-of-the-above	எச். ராசாவால் இராமருக்கே  இழிவு. இவர் எல்லாம் இராமர் பரம்பரையாம்.
None-of-the-above	கல்யாணம்னு  வரும்போது தான் சாதி முக்கியம் எங்களுக்கு
None-of-the-above	Tentu Kottai ஐயா நான் தமிழ் இந்து.
Homophobia	Tamil selvan  அடே தேவடியாவுக்கு பிரந்தவனே பச்சத் தேவடியாவுக்கு பிரந்தவனே ... கொம்மா புண்டைல பூள பார்க் பண்ணுறேன்.என் சுன்னிய ரொம்பவும் ரசிச்சு ரசிச்சு ஊம்புரீயேடா எச்சப்புன்ட Tamil Selva...
None-of-the-above	bro நீங்க பேசறதெல்லாம் கேக்க கேக்க இரவு துக்கம் வரமாட்டங்குது
None-of-the-above	S_1 B_2 Narmada.D  பெற்ற பிள்ளையை படிக்க வைத்து aalakuvathu ஒவ்வொரு petrorin கடமை
None-of-the-above	பாஜக மற்றும் அது சார்ந்த அமைப்புகள் இந்து மற்றும் பிரமாண சமூகத்தின் கட்சியே அல்ல...
Misandry	தேவிடியா; பயா  H   Raja
Homophobia	+பிரபல நாட்டாமை என் வீட்டுக்கு வா சுண்ணி ஊம்பி விடு
None-of-the-above	ரகுராம் ராஜன் நேர்மையான மனிதர்.
None-of-the-above	திரு.ஆனந்த சீனிவாசன் அவர்கள் சிறந்த மனிதர் 👌👋👋👋
None-of-the-above	பாரபட்சம் தாண் அதில் என்ன சந்தேகம்???
None-of-the-above	நீச்சல் குள மரணம் | ஜெயலலிதாவால் தப்பியது PSBB | ஆனந்த் சீனிவாசன் | PSBB SCHOOL | Tamil Kelvi - அருமையான நேர்காணல்.  நான் மிகவும் மதிக்கும் திரு ஆனந்த் சீனிவாசன் அவர்கள் - எனது பக்கத்தில் பகிர்கிறேன்.  நன்றி Tamil Kelvi
Misandry	எவன்டா நீ கேவலமான ஈனப்பிறவி ..கேடுகெட்ட கேனப்பயலே ...எச்சப்பயலே
None-of-the-above	சனாதான தர்மத்துக்கு தான் தமிழர்கள் எதிரி.இந்துவுக்கு அல்ல.உயர்வு தாழ்வு கூடாது.
None-of-the-above	மதுவந்தி ... பிராமண குலத்தின் சாபக்கேடு ! .... இவர் பேசுவது எல்லாம் உளறல் ... பிதற்றல் ... இவர் வாய்மூடி இருக்கட்டும் !
None-of-the-above	இவனும் பிராமணர் ஜாதிக்கு வெட்கக்கேடு.
Counter-speech	வைரமுத்து அவர்கள் வாயை மூடிக்கொண்டு இருந்திருந்தால் இவ்வளவு அசிங்கப்பட்டு; இருக்க வேண்டியதில்லை; கடவுளைப் பற்றி யார் தப்பாக பேசினாலும் அவர்கள் தண்டனை அனுபவிப்பார்கள்
None-of-the-above	பயித்தியாம் இந்த எச்சா
None-of-the-above	தமிழ் நாடு உனக்கு சோறு போடு து
Misandry	ராஜா எதற்காக மற்ற மதத்தினரை பேசுகிறான்.... இவன்தான் தாசியின் மகன்
None-of-the-above	; தமிழர்களே
Misogyny	உண் அம்மா தோவிடியா புணடமோன
None-of-the-above	Prestha Maavan ; நண்பரே!! கனடாவிலும்
None-of-the-above	நம்ம‌ புருஷ்  தான் அப்படினு நினைச்சோம் பரவாயில்லை நிறைய பேர் இருக்கிறார்கள்
None-of-the-above	அப்போ சன் டிவி
None-of-the-above	eliyathamby kuncharalingam ; நல்லவிதமாகப் போய்க்கொண்டிருக்கும் நாம் தமிழர் தம்பிகளை உசுப்பிவிட்டு இந்துக்களுக்கு எதிராக அச்சில் ஏற்றமுடியாத படுமோசமான ஆபாச  வார்த்தைகளால் இழிவாகப் பேசத்தூண்டுவதே மதிமாறன்
None-of-the-above	ஸ்ரீ A  🙄🤔
None-of-the-above	ஏன் நாய் மாதிரி கத்துறாண் எச்ச
None-of-the-above	அப்படியே எல்லாரும் செத்த பிறகு யார் மிச்சம் இருப்பாங்க
None-of-the-above	ஐயா சீனிவாசன்  அவர்களே அருமை யாக விளக்கம் தந்தீர்கள் ....வாழ்க பல்லாண்டு.........
Counter-speech	இது பெண்மையை பயம் முறுத்தும் புரிதலற்ற பேச்சு....
Xenophobia	முஸ்லீம்ட சு...ய ஊம்பாட்டி உணக்கு தூக்கம் வராதாடா தே... மவன.
Counter-speech	அட மான்ஜெட்டவனே வைரமுத்துவின் கால் தூசிக் கு தகுதி அற்றவனே அவர் வாழும் ஒரு தமிழ் டா மடையா
Transphobic	priya priya  பொம்பள பேர்ல போஸ்டிங் போடுற 9 ஜாதி புண்டை மொதல்ல உன் ஜாதி சர்டிபிகேட் ஐ அப்லோட் பண்ணுடா 9 ஜாதி புண்டை தாயொலி...
Misogyny	priya priya  அடியே தேவடியாளுக்கு பொறந்த தேவிடியாலே எத்தனை பேரு ஓடிப்போன தேவிடியாலே அம்மா ஒரு தேவடியாள் இருப்பாய் நீ ஒரு பச்சை தேவடியாதான இப்படி பொறம்போக்கு மொத்த தேவடியாளுக்கு பிறந்தவர்
None-of-the-above	நடுநிலை பேச்சு . 💐
Hope-Speech	எச். ராஜா. வாழ்க 🦁🦁🦁
None-of-the-above	The great warriors  Hராஜாசீடரின்தகுதிஇதுதான்
None-of-the-above	My Life Partner is ? உங்களை எப்படி தொடர்பு கொள்ளவது.
Counter-speech	சரிதான் கடனை பெரும்பாலான பெண்களால் ஏற்க முடிவதில்லை தான் ஆனால் நீங்கள் நினைத்தால் அது மாறும் சகோதரா
Hope-Speech	...நியாயமுள்ள சில நல்ல மனிதர்களுள் நீங்களும் ஒருவர் ஐயா..ரொம்ப நன்றி ஐயா
None-of-the-above	முன்னை விட குறைந்துள்ளது என்பது உண்மை தான் கேட்காமல் அவர்கள் பெண்களுக்கு செய்வதில் தவறு இல்லை கேட்டு பெற வில்லையே?
None-of-the-above	ஏன் தவரென்ன ஒர் இன சேர்க்கை உண்ணதமானது அன்பு எப்படி வரும் எப்போது வரும் தெரியாது ஆனும் ஆனும் உறவாடுவது பத்தி முன்பு எனக்கு தெரியாது ஒரு சமயம் நான் வேளாங்கண்ணி போனேன் பிரார்தனை முடிந்து சேலம் போவதற்கு நாகப்பட்டிணம் வந்தேன் அப்படயம் இரவு ஒரு மணி பஸ் 4 மணிக்கு என்றார்கள் பஸ்ஸ்டாப்பில் பயணியர் இருக்கும் இடத்தில் ஒரு ஒரமாக படுத்தேன் அந்த சமயம் வேகமான மழை கூட்டம் அதிகமாகி விட்டது என் பக்கத்தில் ஒரு 65 வயது மதிக்கதக்க ஆள் வந்து படுத்தார் அவர் நெய்வேலி போகனும் என்றார் அப்படியே தூங்கினேன் திடீர் என்று எனக்குள் ஒரு உணர்வு கண் விழித்து பார்த்தால் அந்த நாள் என் உதட்டை கவ்வி சுவைத்து கொண்டு இருந்தார்கட்டி அனைத்து முத்தம் இட்டார் அந்த சுகம் எனக்கு தேவைபட்டது பிறகு என்னை குப்புற படுக்க வைத்து புணர்ந்தார் அது ஒரு வித சுகமா இருந்தது அன்று முதல் அதற்கு அடிமையாகி விட்டேன் அன்று முதல் வயதானவர்களை கண்டால் நானாகவே போய் Uக்கத்தில் படுப்பேன் என் வயது 46 சுகத்திற்கு ஆண் பெண் என்ற வித்தியாசம் இல்லை
None-of-the-above	Boycott Dmk  ஒங்க முகம் தமிழ்நாட்டில் வாழும் ஆண்களுக்கு எல்லாத்துக்கும் தெரியுமாட்டக்கு
None-of-the-above	எதற்கு நன்றி எல்லாம்...
Misogyny	பெண்டாட்டி  பேச்சை கேட்டு தாயை முதியோர் இல்லத்தில்  சேர்க்கும்  ஆண்களே லட்சக்கணக்கான  பேர் உள்ளனர் ( என் நிலை உள்ளது)மகனும்  பேரகுழந்தைகளையும் பேச விடாமலும் ஒண்ட விடாமல் தடுத்து விடுகிறார்கள்
None-of-the-above	பிராமணர்களில் உங்களை போன்ற நல்ல மனிதர்களும் இருக்கத்தான்  செய்கிறார்கள்.எங்க எதிர்வீட்டு  பிராமிண் அம்மாவோட அட்ராசிட்டி தாங்க முடியல.அவங்க யூஸ் பண்ண மாஸ்க் எங்க வீட்டு காம்ப்பவுண்ட்ல தான் போடுவாங்க..அவங்க வீட்டு பாதாளசாக்கடை  கழிவு எங்க தோட்டத்தில் கொட்டுவாங்க.இப்படி அராஜகம் பண்றாங்க.எங்க தெருவில் இருக்க எல்லாரிடமும் அந்த பிராமிண் அம்மா சண்டை போட்ருச்சு
None-of-the-above	நான் இத்திரைப்படத்தின் ஒளிப்பதிவாளர்
None-of-the-above	Anandha babu  ம் சொல்லுங்க
